end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsPayableCurrent,AccountsPayableInterestBearingInterestRate,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,BankOverdrafts,BankOwnedLifeInsuranceIncome,Cash,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockAmountConverted1,ConversionOfStockAmountIssued1,ConversionOfStockSharesConverted1,ConversionOfStockSharesIssued1,ConvertibleNotesPayable,ConvertibleSubordinatedDebtNoncurrent,CostOfRevenue,CurrentIncomeTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentUnamortizedDiscount,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Deposits,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EquityMethodInvestments,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDeposits,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaid,InterestPaidNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MarketableSecuritiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,PaymentsForDeposits,PaymentsForLoans,PaymentsToAcquireAvailableForSaleSecuritiesDebt,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PreferredStockValueOutstanding,PrepaidExpenseAndOtherAssets,PrepaidExpenseCurrent,ProceedsFromCollectionOfAdvanceToAffiliate,ProceedsFromCollectionOfLongtermLoansToRelatedParties,ProceedsFromContributedCapital,ProceedsFromContributionsFromAffiliates,ProceedsFromConvertibleDebt,ProceedsFromDebtNetOfIssuanceCosts,ProceedsFromIssuanceOfWarrants,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfitLoss,RepaymentsOfBankDebt,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SharesIssued,SharesOutstanding,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteStockSplitConversionRatio1,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodSharesStockSplits,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,StockIssuedDuringPeriodValueNewIssues,TreasuryStockShares,TreasuryStockValue,TreasuryStockValueAcquiredCostMethod,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2017-10-31,2017-12-18,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,3392.0,,,,4640351.0,,,,8952.0,8952.0,,,,,,,,,,,0.0001,100000000.0,22340083.0,22340083.0,2234.0,,,,,,,,,,,,,,,,,,,207217.0,,0.0,,,,,,,32652.0,,-0.01,,,,,,,,,,,,,,,,,210609.0,8952.0,210609.0,,,,,,-32652.0,,,-32652.0,,,,,,0.0001,10000000.0,,,,,,8952.0,,,,,,,,,,,,,-4791288.0,,,,-201657.0,,,,,,,,2.0,52954.0,,,2234465.0
2018-01-31,2018-03-19,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,5900.0,,,,4640351.0,,,,5833.0,5833.0,,,,,,,,,,,0.0001,100000000.0,22340083.0,22340083.0,2234.0,,,,,,,,,,,,,,,,,,,229400.0,,0.0,,,,,,,27810.0,,-0.01,,,,,,,,,,,,,,,,,235300.0,5833.0,235300.0,,,,,,-27810.0,,,-27810.0,,,,,,0.0001,10000000.0,,,,,,5833.0,,,,,,,,,,,,,-4819098.0,,,,-229467.0,,,,,,,,2.0,52954.0,,,2234465.0
2018-04-30,2018-07-30,10-K,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,8720.0,8720.0,8720.0,,4642362.0,4642362.0,,,3333.0,3333.0,,,0.0,,0.0,,0.0,,,,0.0001,200000000.0,2234466.0,2234466.0,223.0,,,,,,,,,,,,,,0.0,,,3333.0,,255025.0,255025.0,-0.05,,0.27,-0.35,0.5,0.05,,118216.0,,,-38008.0,0.0,,-373410.0,-31918.0,8201.0,,,,,,,-3333.0,,0.0,,263745.0,3333.0,263745.0,,113348.0,113348.0,,-113348.0,-118216.0,,,-118216.0,,373410.0,,,,0.0001,10000000.0,0.0,0.0,,,,3333.0,,,,113348.0,,,,113348.0,,-118216.0,,,-4850043.0,0.0,,,-260412.0,,,,,,,,2.0,52954.0,,6090.0,2234465.0
2018-07-31,2018-09-21,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,7477.0,,,,4640351.0,,,,833.0,833.0,,,,,,,,,,,0.0001,200000000.0,22340083.0,22340083.0,2234.0,,,,,,,,,,,,,,,,,,,285341.0,,-0.01,,,,,,,31573.0,,,,,,,,-1243.0,-1243.0,,,,,,2500.0,,,,292818.0,833.0,292818.0,,30316.0,,,-30216.0,-31573.0,,,-31573.0,,,,,,0.0001,10000000.0,0.0,0.0,,,,833.0,23791.0,30316.0,0.0,,,,,30316.0,,-31573.0,,,-4881616.0,,,,-291985.0,,,,,,,,2.0,52954.0,,,2234465.0
2018-10-31,2018-12-18,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,,23048.0,,,4642362.0,,,,10000.0,10000.0,,,,,,,,,,,,,,,223.0,,,,,,,,,,,,,,,,,10000.0,,,309132.0,-0.01,,,,,,,30195.0,,-0.01,,,,,,,,,,,,,,,,,332180.0,10000.0,332180.0,,,,,,-30195.0,,,-30195.0,,,,,,,,,,,,,,,,,,,,,,,-30195.0,,,-4911811.0,,,,-322180.0,,,,,,,,,-52954.0,,,2234565.0
2019-01-31,2019-03-14,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,,1850.0,,,4642362.0,,,,7000.0,7000.0,,,,,,,,,,,,,,,223.0,,,,,,,,,,,,,,,,,7000.0,,,335937.0,0.0,,,,,,,8607.0,,0.0,,,,,,,,,,,,,,,,,337787.0,7000.0,337787.0,,,,,,-8607.0,,,-8607.0,,,,,,,,,,,,,,,,,,,,,,,-8607.0,,,-4920418.0,,,,-330787.0,,,,,,,,,-52954.0,,,2234465.0
2019-04-30,2019-06-28,10-K,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,2501.0,,2501.0,,4642362.0,4642362.0,,,4000.0,4000.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0001,200000000.0,2234474.0,2234474.0,223.0,,,,,,,,,,,,,,0.0,308702.0,-308702.0,,,348920.0,,-0.04,,0.21,,,,0.0,87009.0,,,0.0,0.0,,-308702.0,18272.0,-6219.0,-6219.0,,,,,,-667.0,,0.0,,351421.0,4000.0,351421.0,,93895.0,93895.0,0.0,-93895.0,-87009.0,,,-87009.0,,1470000.0,-667.0,,,0.0001,10000000.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,,0.0,93895.0,,,,93895.0,,-87009.0,,,-4937052.0,0.0,,,-347421.0,,,,,,,,1.0,52954.0,,-18272.0,2234474.0
2019-07-31,2019-09-18,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,,,534.0,,4648512.0,,,,1000.0,1000.0,,,,,0.0,0.0,,,,,0.0001,200000000.0,2234466.0,2234465.0,223.0,,,,,,,,,,,,,,,,,,,372823.0,,-0.01,,,,,,,31086.0,,,,0.0,,,,-1967.0,,,,,,,3000.0,,0.0,,373357.0,1000.0,373357.0,,30053.0,,,-30053.0,-31086.0,,,-31086.0,,,,,,0.0001,10000000.0,0.0,,,,,1000.0,,23903.0,6150.0,,,,,23903.0,,-31086.0,,,-4968138.0,0.0,,,-372357.0,,,,,,,,1.0,-52954.0,,,2234465.0
2019-10-31,2019-12-26,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,,,7117.0,,5016335.0,,,,200.0,100.0,,,,,100.0,,,,,,0.001,200000000.0,7234466.0,7234465.0,5223.0,372823.0,,,,,,,,,,,,,,,,,,31616.0,,-0.01,,,,,,,38999.0,,,,,,,,,,,,,,,,,,,38733.0,200.0,38733.0,,,,,,-38999.0,,,-38999.0,,,,,,0.001,10000000.0,0.0,0.0,,0.0,,,,,,,,,,,,-38999.0,,,-5007137.0,0.0,,,-38533.0,,,,,372823.0,,,1.0,-52954.0,,,4212487.0
2020-01-31,2020-05-12,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,,,29651.0,,5020835.0,,,,2152.0,2052.0,,,,,2052.0,,,,,,0.0001,20000000.0,7234466.0,7234465.0,723.0,,,,,,,,,,,,,,,,,,,43757.0,,0.0,,,,,,100.0,32723.0,,,,,,,,,,,,,,,,,,,73408.0,2152.0,73408.0,,,,,,-32723.0,,,-32723.0,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,,,,-32723.0,,,-5039860.0,0.0,,,-71256.0,,,,,,,,,-52954.0,,,7234466.0
2020-04-30,2020-08-13,10-K,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,36701.0,,,,5020835.0,,,,100.0,0.0,16.0,-16.0,0.0,0.0,0.0,0.0,,,,0.0,0.0001,200000000.0,7234474.0,7234473.0,723.0,372823.0,,,,,,,,,372823.0,,,,0.0,332206.0,332206.0,,,43757.0,,-0.02,,0.21,,,,100.0,111926.0,,,0.0,0.0,,,23504.0,,34200.0,,,,,,,,0.0,,80474.0,100.0,80474.0,100.0,73826.0,,-100.0,-73726.0,-111926.0,,,-111926.0,,1582000.0,4000.0,6150.0,100.0,0.0001,10000000.0,0.0,0.0,0.0,,0.0,0.0,,,6150.0,,,,,67660.0,,,,,-5048978.0,0.0,,,-80374.0,,,,,,,,1.0,52954.0,,-23504.0,5220775.0
2020-07-31,2021-07-01,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,34628.0,,,,5050769.0,,,,14188.0,14088.0,,,,,14088.0,14088.0,,,,,0.0001,200000000.0,7642211.0,7642210.0,764.0,,,,,,,,,,,,,,,,,,,43757.0,,0.0,,,,,,,13798.0,,,,0.0,0.0,,,-2073.0,,,,,,,0.0,,0.0,0.0,78385.0,14188.0,78385.0,100.0,29959.0,,,-15871.0,-13798.0,,,-13798.0,,,,,,0.0001,10000000.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,,-13798.0,16.0,,-5062776.0,0.0,,,-64197.0,,,,,,,29975.0,1.0,52954.0,52954.0,,7413956.0
2020-10-31,2021-07-26,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,30500.0,,,,5050769.0,,,,6580.0,6480.0,0.0,,,,6480.0,,,,,,0.0001,200000000.0,7642211.0,7642210.0,764.0,,,,,,,,,,,,,,,,,,,63752.0,,0.0,,,,,,,23475.0,,,,,,,,,,,,,,,,,,,94252.0,6580.0,94252.0,100.0,,,,,-23475.0,,,-23475.0,,,,,,0.0001,10000000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,-5086251.0,0.0,,,-87672.0,,,,,,,,1.0,52954.0,,,7642210.0
2021-01-31,2021-08-23,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,29450.0,,,,5050769.0,,,,2541.0,2441.0,0.0,,,,2441.0,,,,,,0.0001,200000000.0,7642211.0,7642210.0,764.0,,,,,,,,,,,,,,,,,,,63752.0,,0.0,,,,,,,2989.0,,,,,,,,,,,,,,,,,,,93202.0,2541.0,93202.0,100.0,,,,,-2989.0,,,-2989.0,,,,,,0.0001,10000000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,-5089240.0,0.0,,,-90661.0,,,,,,,,1.0,52954.0,,,7642211.0
2021-04-30,2021-09-22,10-K,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,28650.0,,,,5050769.0,,,,442.0,342.0,0.0,,342.0,342.0,342.0,342.0,,,,,0.0001,200000000.0,7642211.0,7642210.0,764.0,,,,,,,,,,,,,,0.0,340934.0,340934.0,,,63752.0,,-0.01,,0.21,,,,,41561.0,,,0.0,0.0,,,8728.0,,,,,,,,,,0.0,,92402.0,442.0,92402.0,100.0,49954.0,,0.0,-49612.0,-41561.0,,,-41561.0,,1624000.0,,,0.0,0.0001,10000000.0,0.0,0.0,0.0,,,,,,0.0,,,,,19995.0,,,,,-5090539.0,0.0,,,-91960.0,,,,,,,29975.0,1.0,52954.0,52954.0,-8728.0,7584587.0
2021-07-31,2021-09-28,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,28150.0,,,,5050769.0,,,,20263.0,20163.0,,,20163.0,,20163.0,19821.0,,,,,0.0001,200000000.0,7642211.0,7642210.0,764.0,,,,,,,,,,,,,,,,,,,94752.0,,0.0,,,,,,,10679.0,,,,,0.0,,,-500.0,,,,,,,,,,0.0,122902.0,20263.0,122092.0,100.0,31000.0,,,-11179.0,-10679.0,,,-10679.0,,,,,,0.0001,10000000.0,0.0,0.0,0.0,,,,,,,,,,,31000.0,,,0.0,,-5101218.0,0.0,,,-102639.0,,,,,,,,1.0,52954.0,,,7642210.0
2021-10-31,2021-12-13,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,25450.0,,,,5050769.0,,,,1917.0,1817.0,,,1817.0,,1817.0,,,,,,0.0001,200000000.0,7642211.0,7642210.0,764.0,,,,,,,,,,,,,,,,,,,100752.0,,0.0,,,,,,,21646.0,,,,,,,,,,,,,,,,,,,126202.0,1917.0,126202.0,100.0,,,,,-21646.0,,,-21646.0,,,,,,0.0001,10000000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,-5122864.0,0.0,,,-124285.0,,,,,,,,1.0,52954.0,,,7642210.0
