end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableRelatedPartiesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AmortizationOfDebtDiscountPremium,AmortizationOfIntangibleAssets,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,BankOverdrafts,CapitalizedComputerSoftwareAccumulatedAmortization,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,ComprehensiveIncomeNetOfTax,ConvertibleDebtCurrent,ConvertibleNotesPayableCurrent,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtConversionOriginalDebtAmount1,DebtCurrent,DebtInstrumentDecreaseForgiveness,DebtInstrumentIncreaseDecreaseOtherNet,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsValuationAllowance,DepositAssets,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectOfExchangeRateOnCashAndCashEquivalents,ForeignCurrencyTransactionGainBeforeTax,ForeignCurrencyTransactionGainLossRealized,ForeignCurrencyTransactionGainLossUnrealized,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInCustomerAdvancesAndDeposits,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidRent,InterestExpense,InterestIncomeOperating,InterestPaid,InterestPaidNet,InterestPayable,InterestPayableCurrent,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LineOfCreditFacilityCommitmentFeePercentage,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesAndLoansPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssets,OtherExpenses,OtherIncome,OtherLiabilitiesCurrent,OtherNonoperatingIncomeExpense,PaymentsForLoans,PaymentsToAcquireAssetsInvestingActivities,ProceedsFromCollectionOfNotesReceivable,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromLoans,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfBankOverdrafts,ProceedsFromRepaymentsOfNotesPayable,ProfessionalFees,RepaymentsOfDebt,RepaymentsOfRelatedPartyDebt,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,SalariesAndWages,ShortTermBankLoansAndNotesPayable,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect
2017-02-28,2017-04-13,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,220376.0,952119.0,54279.0,2194452.0,,8513.0,,30249.0,21737.0,,,21737.0,21737.0,,,,0.001,,75000000.0,18631690.0,,19012.0,18632.0,-70692.0,,,,,,,,,,,,,,0.0,,,,-2978.0,,,6741.0,,,,,,,,,,,-790.0,,,,,46602.0,,,30249.0,1646172.0,,,,,,-67714.0,408063.0,,,-66924.0,-66924.0,,8512.0,790.0,,,-790.0,,,,,,,,,,,,1490.0,,,18180.0,-3883286.0,,,,-1615923.0,,,,,,,,,,,,18426320.0,18426320.0,
2017-05-31,2017-08-30,10-K,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,131219.0,,57197.0,2682303.0,,34050.0,,8779.0,8779.0,,,8779.0,8779.0,,1628.0,,0.001,,75000000.0,19667698.0,,,19668.0,-257572.0,,,,,513764.0,,19524.0,,,-1389099.0,1420859.0,,1058760.0,-0.01,,-1928.0,,4450.0,4450.0,,24901.0,,257571.0,-853.0,98383.0,,,,12056.0,,,-12597.0,,,,,,,,8779.0,1207259.0,,,121941.0,,-118385.0,-262022.0,17280.0,,,249425.0,-249425.0,,,,,,,,,,,,121941.0,,,,,,8990.0,,,54743.0,-3957648.0,,,,-1325447.0,,,,,,,514921.0,,105016.0,,,18905485.0,,
2017-08-31,2017-10-18,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,131219.0,,57197.0,2682303.0,,,10587600.0,6475.0,6475.0,,,6475.0,6475.0,,-2304.0,,0.001,,75000000.0,19667698.0,,,19668.0,-50114.0,,,,,,,,,,,,,1058760.0,0.0,,,,,,,6463.0,,,,24530.0,,,,,,,,,,,,,,,6475.0,1255069.0,,,23280.0,,-25584.0,-50114.0,40560.0,,,50114.0,-50114.0,,,,,,,,,,,,,,23280.0,,,,3493.0,,,6420.0,-4007762.0,,,,-1248594.0,82802.0,,,,,,,,,,,19667698.0,,
2017-11-30,2018-01-16,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,131219.0,52228.0,57197.0,2682303.0,,,,2596.0,2596.0,,,2596.0,2596.0,,,,0.001,,75000000.0,19667698.0,,,19668.0,-103457.0,,,,,,,,,,,,,1058760.0,-0.01,,,,,,,17454.0,,,,,,,,,,,,,,,,,,,2596.0,1293915.0,,,,,,-42725.0,51708.0,,,103457.0,-103457.0,,,,,,,,,,,,,,,,,,10124.0,,,13967.0,,,,,-1291319.0,,,,,,,,,,,,19667698.0,,
2018-02-28,2018-04-16,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,131219.0,81575.0,57197.0,2682303.0,,,,1680.0,1680.0,,,1680.0,1690.0,,,,0.001,,75000000.0,19667698.0,,,19668.0,-50073.0,,,,,,,,,,,,,1058760.0,0.0,,,,,,,7111.0,,,,,,,,,,,,,,,,,,,1680.0,1343072.0,,,,,,-50073.0,71518.0,,,50073.0,-50073.0,,,,,,,,,,,,,,,,,,1589.0,,,9461.0,-4100560.0,,,,-1341392.0,,,,,,,,,,,,19667698.0,,
2018-05-31,2018-09-13,10-K,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,142859.0,119121.0,57197.0,2555436.0,,,,7608.0,7608.0,,,7608.0,7608.0,-1171.0,-1171.0,,0.001,,75000000.0,19567698.0,19567698.0,,19568.0,-201716.0,,1058760.0,,,,,,,854826.0,-1416883.0,854826.0,,1058760.0,-0.01,0.34,,,,,,26567.0,,-566033.0,11640.0,119121.0,,,,,,,,,,,,,,1534771.0,7608.0,1534771.0,,87064.0,69784.0,,-70955.0,-201716.0,87064.0,,,201716.0,-201716.0,,,,,126967.0,,,,,,,,69784.0,69784.0,,,,9082.0,,,38067.0,-4159364.0,,,,-1527163.0,,,,,,,,,,,-566033.0,19667698.0,,
2018-08-31,2018-10-11,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,139412.0,,57197.0,2682303.0,,,10587600.0,3051.0,3051.0,,,3051.0,3051.0,-4557.0,-4557.0,,0.001,,75000000.0,19667698.0,19667698.0,,19668.0,-55344.0,,,,,,,,,,,,,1058760.0,0.0,,,,,,,9538.0,,,-3447.0,30000.0,,,,,,,,,,,,,,,3051.0,1458591.0,,,24234.0,,-28791.0,-55344.0,112308.0,,,7648.0,-55344.0,,,,,,,,,,,,,25244.0,25244.0,5762.0,,,7014.0,,6772.0,7648.0,-4214708.0,,,,-1455540.0,,,,,,,,,,,,19667698.0,,
2018-11-30,2019-01-14,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,140967.0,,57197.0,2682303.0,,,,3993.0,3993.0,,,3993.0,3993.0,,,,0.001,,75000000.0,19667698.0,,,19668.0,-48113.0,,,,,,,,,,,,,1058760.0,0.0,,,,,,,7916.0,,,,,,,,,,,,,,,,,,1507646.0,3993.0,1507646.0,,,,,,-48113.0,127400.0,,,48113.0,-48113.0,,,,,,,,,,,,,,,,,,3110.0,,,6319.0,-4262821.0,,,,-1503653.0,,,,,,,,,,,,19667698.0,,
2019-02-28,2019-04-05,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,137359.0,216810.0,57197.0,2682303.0,,,,191.0,191.0,,,,191.0,,,,0.001,,75000000.0,19667698.0,19667698.0,,19668.0,,,1058760.0,,,,,,,,,,,,0.0,,,,,,,4292.0,,,,,,,,,,,,,,,,,,1551770.0,191.0,1551770.0,,138841.0,,,,-47926.0,,,,47926.0,-47926.0,,,,,,,,,,,,,,,,,,3084.0,,,6736.0,-4310747.0,,,,-1551579.0,,,,,,,,,,,,19667698.0,,
2019-05-31,2019-08-27,10-K,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,134436.0,239121.0,57197.0,2605336.0,,,,17939.0,17939.0,,,,17939.0,10331.0,,,0.001,,75000000.0,19667698.0,19667698.0,,19668.0,,,1058760.0,,,,,,,871164.0,,871164.0,,,-0.01,0.21,,,,,,28915.0,,,-8423.0,120000.0,,,,,,,,,,,,,,1692901.0,17939.0,1692901.0,,132902.0,96553.0,,-86222.0,-197799.0,,,,197799.0,-197799.0,3997000.0,,,,126967.0,,-5939.0,,,,50000.0,,51777.0,,26434.0,,,16285.0,,-25719.0,26873.0,-4357163.0,,,,-1674962.0,,,,,,,,,50000.0,,16338.0,19674273.0,,
2019-08-31,2019-09-30,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,145373.0,266533.0,57197.0,2605336.0,,,,6430.0,6430.0,,,,6430.0,-11509.0,,,0.001,,75000000.0,19667698.0,19667698.0,,19668.0,,,1058760.0,,,,,,,,,,,,0.0,,,,,,,5871.0,,,10937.0,30000.0,,,,,,,,,,,,,,1730535.0,6430.0,1730535.0,,132902.0,-3303.0,,-8206.0,-49143.0,,,,49143.0,-49143.0,,,,,126967.0,,,,,,,,,,1220.0,,,9699.0,,4523.0,3573.0,-4406306.0,,,,-1724107.0,,,,,,,,,,,,19767698.0,,
2019-11-30,2020-01-14,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,146256.0,247151.0,57197.0,2655236.0,,,,0.0,,,,,,,,,0.001,,75000000.0,19767698.0,19767698.0,,19768.0,,,1058760.0,,,,66.0,,,,,,,,0.0,,,,,,,2898.0,,,,,,,,,,,,,,,,,,1712102.0,0.0,1712102.0,,132902.0,,,,-37995.0,,,,37995.0,-37995.0,,,,,126967.0,,,,,,,,,,,,,2786.0,,,2311.0,-4444303.0,,,,-1712102.0,,,,,,,,,,50000.0,,19702863.0,,
2020-02-29,2020-06-03,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,152011.0,279121.0,57197.0,2655236.0,,,,0.0,,,,,0.0,,,,0.001,,75000000.0,19767698.0,19767698.0,,19768.0,,,1058760.0,,,,,,,,,,,,-0.002,,,,,,,4098.0,,,,,,,,,,,,,,,,,,1757217.0,0.0,1757217.0,,132902.0,,,,-45115.0,,,,45115.0,-45115.0,,,,,126967.0,,,,,,,,,,,,,4608.0,,,2594.0,-4489418.0,0.0,,,-1757217.0,,,,,,,,,,50000.0,,19667698.0,,
2020-05-31,2020-09-14,10-K,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,155551.0,309121.0,57197.0,2655236.0,,,,46.0,46.0,,,,46.0,-17893.0,,0.0,0.001,,75000000.0,19767698.0,19767698.0,,19768.0,,,1058760.0,,,,,,,882014.0,0.0,882014.0,,,-0.01,0.21,,,,,,15120.0,0.0,,21115.0,120000.0,,,,,,,,,,0.0,,,,1796674.0,46.0,1796674.0,,136465.0,12658.0,0.0,-30551.0,-171666.0,,,,171666.0,-171666.0,4050000.0,,,,126967.0,,,,,,0.0,,3563.0,,18901.0,,,18699.0,,9806.0,11614.0,-4528829.0,0.0,,,-1796628.0,50000.0,,,,,,,,50000.0,,10850.0,19726441.0,,
2020-08-31,2020-10-15,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,149224.0,339121.0,57197.0,2655236.0,,,,801.0,801.0,,,,801.0,755.0,,,0.001,,75000000.0,19767698.0,19767698.0,,19768.0,,,1058760.0,,,,,,,,,,,,0.0,,,,,,,3504.0,0.0,,-6327.0,30000.0,,,,,,,,,,0.0,,,,1832284.0,801.0,1832284.0,0.1,136465.0,11937.0,0.0,-11182.0,-34855.0,,,,34855.0,-34855.0,,,,,126967.0,,,,,,,,0.0,,12535.0,,,0.0,,598.0,1351.0,-4563684.0,0.0,,,-1831483.0,,,,,,,,,,,,19797698.0,,
2020-11-30,2021-01-13,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,157999.0,369121.0,57197.0,2655236.0,,,,,,,,,0.0,,,,0.001,,75000000.0,19767698.0,19767698.0,,19768.0,,,1058760.0,,,,42.0,,,,,,,,0.0,,,,,,,3509.0,,,,,,,,,,,,,,,,,,1878882.0,,1878882.0,,136465.0,,,,-47399.0,,,,47399.0,-47399.0,,,,,126967.0,,,,,,,,,,,,,11819.0,,,2071.0,-4611083.0,0.0,,,-1878882.0,,,,,,,,,,,,19767698.0,,
2021-02-28,2021-04-14,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,160200.0,399121.0,57197.0,2655236.0,,,,118.0,118.0,,,,118.0,,,0.0,0.001,,75000000.0,19767698.0,19767698.0,,19768.0,,,1058760.0,,,,,,,,,,,,-0.002,,,,,,,5608.0,,,,,,,,,,,,,,,,,,1912399.0,118.0,1912399.0,,136465.0,,,,-41226.0,,,,41351.0,-41226.0,,,,,126967.0,,,,,,,,,,,,,3162.0,,,1953.0,-4652307.0,125.0,,,-1912281.0,,,,,,,,,,,,19767698.0,,
2021-05-31,2021-09-09,10-K,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,163027.0,429121.0,57197.0,2655236.0,,,,40.0,40.0,,,,40.0,-6.0,,0.0,0.001,,75000000.0,19767698.0,19767698.0,,19768.0,,,1058760.0,,,,,,,891084.0,0.0,891084.0,,37696.0,-0.01,,,,,,,16597.0,0.0,,7476.0,120000.0,,,,,,,,,,0.0,,,,1959861.0,40.0,1959861.0,,136465.0,35711.0,0.0,-35717.0,-163193.0,,,,163604.0,-163193.0,4090000.0,,,,134792.0,,,,,,7825.0,,0.0,,29433.0,,,18160.0,,1547.0,8219.0,-4692022.0,411.0,,0.0,-1959821.0,,,,,,,,,,,9070.0,19767698.0,,
2021-08-31,2021-10-15,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,165450.0,459121.0,57197.0,2655236.0,,,,0.0,0.0,,,,0.0,-40.0,,0.0,0.001,,75000000.0,19767698.0,19767698.0,,19768.0,,,1058760.0,,,,,,,,,,,,0.0,,,,,,,1616.0,0.0,,2423.0,30000.0,,,,,,,,,,0.0,,,,2001353.0,0.0,2001353.0,0.1,136465.0,9069.0,0.0,-9109.0,-41532.0,,,,41573.0,-41532.0,,,,,134792.0,,,,,,,,0.0,,9035.0,,,7876.0,,210.0,2081.0,-4733554.0,41.0,,244.0,-2001353.0,,,,,,,,,,,,19797698.0,,
2021-11-30,2022-01-14,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,159144.0,489121.0,57197.0,2655236.0,,,,110.0,110.0,,,,110.0,,,0.0,0.001,,75000000.0,19767698.0,19767698.0,,19768.0,,,1058760.0,,,,,,,,,,,54971.0,0.0,,,,,,,7520.0,,,,,,,,,,,,,,,,,,2045118.0,110.0,2045118.0,,148330.0,,,,-43655.0,,,,43885.0,-43655.0,,,,,134792.0,,,,,,,,,,,,,3507.0,,,2073.0,-4777209.0,230.0,,,-2045008.0,,,,,,,,,,,,19767698.0,,
