end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AccumulatedAmortizationOfNoncurrentDeferredFinanceCosts,AccumulatedOtherComprehensiveIncomeLossBeforeTax,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AdjustmentsToAdditionalPaidInCapitalOther,AdvertisingExpense,AmortizationExpensePerDollarOfGrossRevenue,AmortizationOfDebtDiscountPremium,AmortizationOfIntangibleAssets,AssetImpairmentCharges,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CommonStockAdditionalSeriesSharesAuthorized,CommonStockAdditionalSeriesSharesIssued,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,ComprehensiveIncomeNetOfTax,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostOfGoodsAndServicesSold,CostOfGoodsSold,CostOfRevenue,DebtConversionConvertedInstrumentAmount1,DebtConversionOriginalDebtAmount1,DebtCurrent,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentConvertibleNumberOfEquityInstruments,DebtInstrumentFaceAmount,DebtInstrumentFairValue,DebtInstrumentInterestRateStatedPercentage,DeferredCompensationLiabilityCurrent,DeferredFederalIncomeTaxExpenseBenefit,DeferredStateAndLocalIncomeTaxExpenseBenefit,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromAffiliates,DueToOfficersOrStockholders,DueToOfficersOrStockholdersCurrent,DueToOtherRelatedPartiesClassifiedCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectOfExchangeRateOnCashAndCashEquivalents,FairValueAssumptionsExpectedVolatilityRate,FairValueAssumptionsRiskFreeInterestRate,FiniteLivedIntangibleAssetsAcquired,GainLossOnComponentsExcludedFromAssessmentOfForeignCurrencyCashFlowHedgeEffectiveness,GainLossOnNonRecourseDebt,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,GroundLeasesAccumulatedAmortization,ImpairedFinancingReceivableUnpaidPrincipalBalance,ImpairmentChargeOnReclassifiedAssets,ImpairmentOfIntangibleAssetsFinitelived,ImpairmentOfInvestments,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInInventories,IncreaseDecreaseInInventoryForLongTermContractsOrPrograms,IncreaseDecreaseInPrepaidExpense,IndefiniteLivedIntangibleAssetsExcludingGoodwill,InterestExpense,InterestPaid,InterestPayableCurrent,InventoryFinishedGoods,InventoryNet,InventoryWriteDown,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesIssued1,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NumberOfReportingUnits,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssetImpairmentCharges,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossBeforeReclassificationAndTax,OtherExpenses,OtherIntangibleAssetsNet,OtherNoncashIncome,OtherNotesPayableCurrent,OtherSalesRevenueNet,OtherSignificantNoncashTransactionValueOfConsiderationGiven1,PaymentsForAdvanceToAffiliate,PaymentsToAcquireIntangibleAssets,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRepaymentsOfOtherDebt,ProceedsFromRepaymentsOfShortTermDebt,ProductionRelatedImpairmentsOrCharges,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentSalvageValue,RepaymentsOfNotesPayable,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,SalariesAndWages,SaleLeasebackTransactionHistoricalCost,SaleOfStockPricePerShare,SalesRevenueGoodsNet,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,ShareBasedCompensationArrangementByShareBasedPaymentAwardSharesIssuedInPeriod,SharePrice,ShortTermBankLoansAndNotesPayable,ShortTermBorrowings,ShortTermDebtPercentageBearingFixedInterestRate,ShortTermNonBankLoansAndNotesPayable,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodSharesShareBasedCompensation,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueShareBasedCompensation,StockIssuedDuringPeriodValueShareBasedCompensationGross,ValuationAllowanceAmount,WeightedAverageNumberOfSharesOutstandingBasic
2015-03-31,2015-05-19,10-Q,"GLUCOSE HEALTH, INC.",GLUC,CIK0001420108,USD,,139622.0,,,,,-75278.0,,5296168.0,50850.0,,,,39854.0,,,37590.0,37290.0,3040.0,,-1831.0,3040.0,,,,0.001,,200000000.0,1778081.0,1778081.0,23000.0,1778.0,,171710.0,50694.0,,,,1750.0,,,0.0,,,,,,,,,,250.0,,,,,-0.08,,,,,,,,,,3385.0,25.0,,,,,,-119996.0,,387.0,250.0,12500.0,,-17359.0,300.0,55278.0,,,,12500.0,,6000.0,,369848.0,37590.0,369848.0,67315.0,,-69146.0,-119996.0,-55278.0,,7822.0,,,64743.0,-64718.0,,,,,,,,,,,,,1000.0,1000.0,1000.0,113200.0,21500.0,,67315.0,,,,61358.0,,,,,-5691126.0,,,,25.0,,,,,,,,,-332258.0,4315.0,,,,,,,,,,,,,1561916.0
2015-06-30,2015-08-18,10-Q,"GLUCOSE HEALTH, INC.",GLUC,CIK0001420108,USD,,95098.0,,,,,-75278.0,,5347767.0,,,,,,,,20578.0,20278.0,4237.0,,,4237.0,,,,0.001,,200000000.0,2112566.0,2112566.0,23000.0,2113.0,,175675.0,74072.0,340.0,,340.0,,,,,,,,,,,,,,250.0,,,,,-0.03,,,,,,,,,,9094.0,212.0,,,,,,-50018.0,,,,,,,300.0,28215.0,,,,11650.0,,,,,20578.0,350920.0,,,,-50018.0,-7642.0,,6075.0,,,42588.0,-42376.0,,,,,,,20573.0,,,,,,1000.0,0.0,0.0,113200.0,4141.0,,,,,,33494.0,,,,,-5741144.0,,,,552.0,,,,,,,,,-330342.0,,,,,,,,,,,,,,1935471.0
2015-09-30,2015-11-23,10-Q,"GLUCOSE HEALTH, INC.",GLUC,CIK0001420108,USD,,94920.0,1980.0,,0.0,,-75277.0,,5365516.0,,,,,,,,21023.0,20723.0,8794.0,,,8794.0,,,,0.001,,200000000.0,2201004.0,2201004.0,23000.0,2201.0,,193757.0,88028.0,1950.0,,1950.0,,,,,,,,,,,,,,250.0,,,,,-0.02,,,,,,,,,,23168.0,105.0,,,,,,-49253.0,,,,,,,300.0,15086.0,,,,9700.0,,,,382780.0,21023.0,382780.0,,,,-49253.0,-15086.0,,6075.0,,,34272.0,-34167.0,,,,,,,,,,,,,1000.0,1000.0,1000.0,113200.0,,,,,,,11104.0,,,,,-5790397.0,,,,2055.0,,,,,,,,,-361757.0,,,,,,,,,,,,,,2132753.0
2015-12-31,2016-04-14,10-K,"GLUCOSE HEALTH, INC.",GLUC,CIK0001420108,USD,,94920.0,3150.0,6075.0,0.0,,-75278.0,,5386001.0,150288.0,,,,43076.0,,,15407.0,15107.0,2055.0,2055.0,-2816.0,2055.0,,,,0.001,,200000000.0,2451888.0,2451888.0,23000.0,2452.0,,201402.0,100829.0,3875.0,,3875.0,4100.0,-10436.0,,109541.0,,,,,,,-1926274.0,-1926274.0,,250.0,,,,,-0.14,-0.34,0.0,,,,,,,,114820.0,397.0,,,,,,-266064.0,,59739.0,4572.0,-8370.0,,-37577.0,300.0,120028.0,,,,8370.0,,32775.0,,403226.0,15407.0,403226.0,113210.0,-250.0,-115776.0,-266064.0,-109891.0,109541.0,6075.0,100829.0,,156570.0,-156173.0,5837194.0,,,,,,,,,,,,1000.0,1000.0,1000.0,113200.0,1282.0,,113210.0,,,,8927.0,,,,48.0,-5837194.0,,,,4272.0,32775.0,,,,,,,,-387819.0,4315.0,,,,,,,26775.0,,,,6000.0,,1956371.0
2016-03-31,2016-05-23,10-Q,"GLUCOSE HEALTH, INC.",GLUC,CIK0001420108,USD,,94920.0,3150.0,,,,-75278.0,,5399862.0,-19346.0,,0.0,,6875.0,,,51632.0,51332.0,1946.0,,-109.0,1946.0,,,,0.001,,200000000.0,2541982.0,2541982.0,23000.0,2542.0,,206290.0,147478.0,60.0,,60.0,13500.0,,,,,,,,,,,,,250.0,,,,,-0.01,,,,,,,,,,2917.0,60.0,,,,,,-29263.0,,10113.0,,-60.0,,36394.0,300.0,16988.0,,,,8310.0,,,,454763.0,51632.0,454763.0,48500.0,,-48609.0,-29263.0,-16988.0,,6075.0,,,12335.0,-12275.0,,,,,,,,,,,,,1000.0,1000.0,1000.0,113200.0,37676.0,,48500.0,,,,9418.0,,,,,-5866457.0,,,,120.0,,,,,,,,,-403131.0,,,,,,,,,,,,,,2503370.0
2016-06-30,2016-08-22,10-Q,"GLUCOSE HEALTH, INC.",GLUC,CIK0001420108,USD,,169365.0,168346.0,,,,-75278.0,,5682368.0,,,863.0,,,,,207109.0,206809.0,27773.0,,,27773.0,,,,0.001,,200000000.0,2753232.0,2753232.0,23000.0,2753.0,,85398.0,106511.0,274464.0,,274464.0,,,,,,,,,,,,,,250.0,,,,,-0.03,,,,,,,,,,5767.0,21345.0,,,,,,-87370.0,,,,,,,300.0,93402.0,,26530.0,,8310.0,,,,423804.0,207109.0,423804.0,,,,-87370.0,-93402.0,,36000.0,,,15313.0,6032.0,,,,,,,,,,,,,1000.0,1000.0,1000.0,113200.0,2130.0,,,,,,9546.0,,,,,-5962738.0,,,,295809.0,,,,,,,,,-216695.0,,,,,,,,,,,,,,2587301.0
2016-09-30,2016-12-21,10-Q,"GLUCOSE HEALTH, INC.",GLUC,CIK0001420108,USD,,124104.0,11742.0,,,,-75278.0,,5685974.0,,,31715.0,,,,,43962.0,43662.0,23639.0,,,23639.0,,,,0.001,,200000000.0,3029073.0,3029073.0,23000.0,3029.0,,145637.0,74772.0,4734.0,,4734.0,,,,,,,,,,,,,,250.0,,,,,-0.06,,,,,,,,,,36356.0,-2624.0,,,,,,-160819.0,,,,,,,300.0,105263.0,,33081.0,,6418.0,,,,417594.0,43962.0,417594.0,,,,-160819.0,-105263.0,,5000.0,35000.0,,52932.0,-55556.0,,,,,,,,,,,,,1000.0,1000.0,1000.0,113200.0,1613.0,,,,,,14701.0,,,,,-6123557.0,,,,2110.0,1875.0,,,,,,,,-373632.0,,,,,,,,,,,,,,2876993.0
2016-12-31,2017-03-29,10-K,"GLUCOSE HEALTH, INC.",GLUC,CIK0001420108,USD,,138134.0,11724.0,38631.0,60.0,,-75278.0,120000.0,5687956.0,371180.0,,,,239927.0,60.0,,33145.0,32905.0,,20542.0,18487.0,20542.0,,,,0.001,,200000000.0,3312273.0,3312273.0,23000.0,3312.0,,164670.0,112157.0,,,294062.0,6155.0,,,,,,,,,,-2060384.0,-2060384.0,,,,,,,-0.15,-0.34,0.0,,,,,,,,51838.0,19167.0,,,,,,-410443.0,,-128879.0,8574.0,8370.0,,-643.0,240.0,323796.0,,,,,,1875.0,,528592.0,33145.0,528592.0,57500.0,250.0,-39263.0,-410443.0,-323796.0,294722.0,5000.0,35000.0,,105814.0,-86647.0,6243587.0,,,,,,,35000.0,,,,,1000.0,1000.0,1000.0,113200.0,639.0,,128500.0,,,,52101.0,,,71000.0,,-6247637.0,,,,313229.0,1875.0,,,,,,,,-495447.0,,,,,,,,1875.0,,,,,,2793759.0
2017-03-31,2017-05-15,10-Q,"GLUCOSE HEALTH, INC.",GLUC,CIK0001420108,USD,,152290.0,9632.0,39164.0,75.0,,-75278.0,,5688735.0,17475.0,,4602.0,,,15.0,,18865.0,18640.0,,9008.0,-11534.0,9008.0,,,,0.001,,200000000.0,3423487.0,3423487.0,23000.0,3423.0,,163820.0,112157.0,,,14638.0,890.0,,,,,,,0.0,,,,,,,,,,,-0.01,,,,,,,,,,12490.0,473.0,75.0,,,,,-29009.0,,14729.0,-2092.0,,,-639.0,225.0,696.0,,,,0.0,,,,542431.0,18865.0,542431.0,,,-11534.0,-29009.0,-696.0,,5000.0,35000.0,,28786.0,-28313.0,,,,,,,,35000.0,,,,,1000.0,1000.0,1000.0,113200.0,,,,,,,16296.0,,225.0,,,-6276646.0,,300.0,,15111.0,,,,,,,,,-523566.0,,,,,,,,,,,,,,3341930.0
2017-06-30,2017-08-21,10-Q,"GLUCOSE HEALTH, INC.",GLUC,CIK0001420108,USD,,98133.0,8795.0,37997.0,90.0,,-75278.0,,5713197.0,,,698.0,,,,,27318.0,27108.0,,18313.0,,18313.0,,,,0.001,,200000000.0,3979792.0,3979792.0,23000.0,3980.0,,161820.0,112157.0,,,272.0,,,,,,,,0.0,,,,,,,,,,,0.01,,,,,,,,,,7557.0,33774.0,,,,,,49258.0,38277.0,,,,,,210.0,5096.0,,,,0.0,,,,476607.0,27318.0,476607.0,,,,49258.0,33181.0,,15000.0,35000.0,,17697.0,16077.0,,,,,,,,16500.0,,,,,1000.0,1000.0,1000.0,113200.0,,,,,,,10140.0,,,,,-6227388.0,,300.0,,34046.0,,,,,,,,,-449289.0,,,25000.0,,,,,906.0,,,,,,3718155.0
2017-09-30,2017-11-14,10-Q,"GLUCOSE HEALTH, INC.",GLUC,CIK0001420108,USD,,78279.0,9105.0,41429.0,105.0,,-75278.0,,5716949.0,,,136.0,,,,,26353.0,26158.0,,16636.0,,16636.0,,,,0.001,,200000000.0,4515810.0,4515810.0,23000.0,4516.0,,159220.0,112157.0,,,790.0,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,4694.0,22993.0,,,,,,18769.0,-19854.0,,,,,,195.0,5720.0,,,,0.0,,,,452585.0,26353.0,452585.0,,,,18769.0,14134.0,,10000.0,35000.0,,18358.0,4635.0,,,,,,,,16500.0,,,,,1000.0,1000.0,1000.0,113200.0,417.0,,,,,,13664.0,,,,,-6208619.0,,300.0,,23783.0,,,,,,,,,-426232.0,,,,,,,,,,,,,,4148101.0
